マスター,地名,センター,可燃ごみ,資源ごみ,埋立ごみ,プラスチックごみ
1,玉川,NULL,月 木,20200419 20200517 20200621 20200719 20200816 20200920 20201018 20201115 20201220 20210124 20210221 20210321,火2 火4,金
1,新宿,NULL,月 木,20200426 20200524 20200628 20200726 20200823 20200927 20201025 20201122 20201227 20210131 20210228 20210328,土2 土4,水
1,伏見A,NULL,月 木,20200405 20200503 20200607 20200705 20200802 20200906 20201011 20201101 20201213 20210110 20210207 20210307,土2 土4,水
1,伏見B,NULL,火 金,20200405 20200503 20200607 20200705 20200802 20200906 20201011 20201101 20201213 20210110 20210207 20210307,土2 土4,水
1,堂庭,NULL,火 金,20200405 20200503 20200607 20200705 20200802 20200906 20201004 20201101 20201206 20210110 20210207 20210307,月2 月4,木
1,久米田,NULL,月 木,20200405 20200503 20200607 20200712 20200802 20200906 20201011 20201101 20201213 20210110 20210207 20210307,火2 火4,金
2,戸畑,NULL,月 木,20200426 20200524 20200628 20200726 20200823 20200927 20201025 20201122 20201227 20210131 20210228 20210328,火2 火4,金
2,的場,NULL,月 木,20200419 20200517 20200621 20200719 20200816 20200920 20201018 20201115 20201220 20210117 20210221 20210321,火2 火4,金
2,湯川,NULL,月 木,20200419 20200517 20200621 20200719 20200816 20200920 20201018 20201115 20201220 20210124 20210221 20210321,火2 火4,金
2,上徳倉A,NULL,火 金,20200412 20200510 20200614 20200712 20200809 20200913 20201011 20201108 20201213 20210110 20210214 20210314,木2 木4,月
2,上徳倉B,NULL,火 金,20200412 20200510 20200614 20200712 20200809 20200913 20201011 20201108 20201213 20210110 20210214 20210314,木2 木4,月
2,下徳倉A,NULL,火 金,20200426 20200524 20200628 20200726 20200823 20200927 20201025 20201122 20201227 20210124 20210228 20210328,水2 水4,木
2,下徳倉B,NULL,火 金,20200426 20200524 20200628 20200726 20200823 20200927 20201025 20201122 20201227 20210124 20210228 20210328,水2 水4,木
2,中徳倉,NULL,月 木,20200426 20200524 20200628 20200726 20200823 20200927 20201025 20201122 20201227 20210124 20210228 20210328,金2 金4,火
2,外原,NULL,月 木,20200412 20200510 20200614 20200712 20200809 20200913 20201011 20201108 20201213 20210117 20210214 20210314,金2 金4,火
3,長沢A,NULL,月 木,20200419 20200517 20200621 20200719 20200816 20200920 20201018 20201115 20201220 20210124 20210221 20210321,水2 水4,土
3,長沢B,NULL,月 木,20200419 20200517 20200621 20200719 20200816 20200920 20201018 20201115 20201220 20200124 20200221 20200321,水2 水4,土
3,本長沢,NULL,月 木,20200412 20200510 20200614 20200712 20200809 20200913 20201011 20201108 20201213 20210117 20210214 20210314,水2 水4,土
3,八幡,NULL,火 金,20200405 20200503 20200607 20200705 20200802 20200906 20201004 20201101 20201206 20210110 20210207 20210307,水2 水4,土
3,柿田A,NULL,火 金,20200405 20200503 20200607 20200705 20200802 20200906 20201004 20201101 20201206 20210110 20210207 20210307,月2 月4,木
3,柿田B,NULL,火 金,20200405 20200503 20200607 20200705 20200802 20200906 20201004 20201101 20201206 20210110 20210207 20210307,月2 月4,木
